Tên sản phẩm,Giá (đồng),Đơn vị,Nhóm thực phẩm
Giò lụa hảo hạng MEATDeli cây 300g,65000,300g,Giò chả
Chả lụa C.P gói 500g,78000,500g,Giò chả
Chả lụa Nấm Tươi Cười gói 250g,60000,250g,Giò chả
Giò thủ G Kitchen cây 475g,88000,475g,Giò chả
Chả lụa bì Wyn G Kitchen 450g,59000,450g,Giò chả
Chả lụa huế Hoa Doanh gói 200g,49000,200g,Giò chả
Giò lụa đặc biệt Vissan cây 500g,117000,500g,Giò chả
Chả lụa que bì ớt xiêm xanh G Kitchen cây 50g,14200,50g,Giò chả
Nem chua huế Trần Phát Hoài gói 200g,39000,200g,Giò chả
Ba rọi xông khói xắt lát Le Gourmet gói 200g,69000,200g,Giò chả
Giò thủ Le Gourmet 200g,40500,200g,Giò chả
Mật ong nguyên chất Rừng Nhiệt Đới chai 300g,46000,300g,Mật ong
Bánh mochi sữa Royal Family 120g,27500,1gói,Bánh ngọt
Bánh mochi đậu đỏ Royal Family 120g,27500,1gói,Bánh ngọt
Bánh Dorayaki nhân đậu đỏ Ichioka gói 69g,10000,1gói,Bánh ngọt
Bánh mochi vị đậu phộng Umiki gói 180g,19000,1gói,Bánh ngọt
Bánh mochi vị khoai môn Umiki 180g,19000,1gói,Bánh ngọt
Bánh bông lan tươi vuông GOLD100 gói 120g,18000,1gói,Bánh ngọt
Bánh mì nướng vị bơ tỏi C'est Bon Orion gói 108g,21000,1gói,Bánh ngọt
Bánh trứng phô mai hoàng kim Karo Richy túi 156g,39000,1,Bánh ngọt
Bánh trứng tươi chà bông Karo Richy túi 156g,39000,1,Bánh ngọt
Bánh trứng tươi chà bông BBQ Kisshu gói 96g,23000,1gói,Bánh ngọt
Bánh bông lan tươi vị socola GOLD100 gói 100g,15000,1gói,Bánh ngọt
Bánh mì tươi khoai môn 24+ Phúc An 33g,5000,1gói,Bánh ngọt
Bánh mì tươi bơ sữa 24+ Phúc An 33g,5000,1gói,Bánh ngọt
Bánh mì tươi socola 24+ Phúc An 33g,5000,1gói,Bánh ngọt
Bánh trứng tươi chà bông vị BBQ Kisshu gói 24g,5000,1gói,Bánh ngọt
Bánh trứng tươi sợi gà Kisshu gói 24g,5000,1gói,Bánh ngọt
Bánh sandwich nhân chà bông cay Vela gói 45g,5000,1gói,Bánh ngọt
Bánh mì sandwich chà bông sốt tiêu Staff gói 60g,10000,1gói,Bánh ngọt
Bánh bông lan tươi vị dâu GOLD100 gói 100g,15000,1gói,Bánh ngọt
Bánh bông lan tươi vị phô mai GOLD100 gói 100g,15000,1gói,Bánh ngọt
Bánh bông lan tươi vị lá lúa mạch GOLD100 gói 100g,15000,1gói,Bánh ngọt
Bánh pía kim sa Phúc An gói 200g,38500,1gói,Bánh ngọt
Bánh pía chay đậu xanh sầu riêng Phúc An gói 300g,44000,1gói,Bánh ngọt
Bánh pía đậu xanh sầu riêng Phúc An gói 300g,52000,1gói,Bánh ngọt
Bánh bông lan phô mai Castella Kido's Bakery gói 40g,15000,1gói,Bánh ngọt
Bánh mì chà bông xốt Singapore Kido's Bakery gói 55g,15000,1gói,Bánh ngọt
Bánh pía đậu đỏ sầu riêng Thiên Lương gói 150g,25000,1gói,Bánh ngọt
Bánh pía khoai môn sầu riêng Thiên Lương gói 150g,25000,1gói,Bánh ngọt
Bánh pía sầu riêng Thiên Lương gói 150g,25000,1gói,Bánh ngọt
Bánh mì chà bông và sốt mayonnaise Otto 55g,14000,1gói,Bánh ngọt
Bánh mì hoa cúc ngàn lớp Fe'sta Richy gói 120g,25000,1gói,Bánh ngọt
Bánh phô mai Sandochi Bảo Minh 100g,29500,1gói,Bánh ngọt
Bánh sữa chua Sandochi Bảo Minh 100g,29500,1gói,Bánh ngọt
Bánh sandwich gạo lứt Hữu Nghị Momiji Bakery 300g,28000,1gói,Bánh ngọt
Bánh mì Hữu Nghị Staff 90g,8000,1gói,Bánh ngọt
Bánh mì sandwich khoai tây Fresta Richy 275g,16500,1gói,Bánh ngọt
Bánh trứng tươi sợi gà Kisshu gói 96g,23000,1gói,Bánh ngọt
Bánh mì sandwich Staff 275g,17500,1gói,Bánh ngọt
Bánh mì hoa cúc Otto gói 300g,49500,1gói,Bánh ngọt
Bánh mì sandwich nho khô Le Pain Dore gói 100g (4 lát),12000,1gói,Bánh ngọt
Bánh mì sandwich nature Le Pain Dore gói 400g (16 lát),30000,1gói,Bánh ngọt
Bánh mì chà bông Staff 55g,8200,1gói,Bánh ngọt
Bánh mì chà bông phô mai Staff 60g,8800,1gói,Bánh ngọt
Bánh mì tươi socola Kisshu 50g,5000,1gói,Bánh ngọt
Bánh croissant kem socola Moonfils Bauli 45g,11300,1gói,Bánh ngọt
Bánh croissant kem vani Moonfils Bauli 45g,11300,1gói,Bánh ngọt
Bánh mì sandwich lạt Otto gói 490g (16 lát),29000,1gói,Bánh ngọt
"Bánh mì sandwich chà bông sốt mayonnaise cay Otto 82,5g",11300,1gói,Bánh ngọt
Bánh mì thịt xốt mayonnaise cay Otto gói 50g,8000,1gói,Bánh ngọt
Bánh mì tươi socola Otto 90g,9300,1gói,Bánh ngọt
Bánh mì tươi bơ sữa Kinh Đô 80g,11300,1gói,Bánh ngọt
Bánh bông lan tươi bơ nho Kinh Đô gói 38g,8200,1gói,Bánh ngọt
Bánh mì sữa không nhân Kinh Đô 80g,10800,1gói,Bánh ngọt
